"module name","licenses","repository","licenseUrl","parents"
"lazy-cache@1.0.4","MIT","https://github.com/jonschlinkert/lazy-cache","https://github.com/jonschlinkert/lazy-cache/raw/master/LICENSE","center-align:twake"
"lazy-req@1.1.0","MIT","https://github.com/sindresorhus/lazy-req","https://github.com/sindresorhus/lazy-req/raw/master/license","twake"
"lcid@1.0.0","MIT","https://github.com/sindresorhus/lcid","https://github.com/sindresorhus/lcid/raw/master/license","twake"
"leven@2.1.0","MIT","https://github.com/sindresorhus/leven","https://github.com/sindresorhus/leven/raw/master/license","twake"
"levn@0.3.0","MIT","https://github.com/gkz/levn","https://github.com/gkz/levn/raw/master/LICENSE","twake"
"load-json-file@1.1.0","MIT","https://github.com/sindresorhus/load-json-file","https://github.com/sindresorhus/load-json-file/raw/master/license","twake"
"load-json-file@2.0.0","MIT","https://github.com/sindresorhus/load-json-file","https://github.com/sindresorhus/load-json-file/raw/master/license","eslint-plugin-import:twake"
"load-script@1.0.0","MIT","https://github.com/eldargab/load-script","https://github.com/eldargab/load-script","twake"
"loader-fs-cache@1.0.1","ISC","","","twake"
"loader-runner@2.3.0","MIT","https://github.com/webpack/loader-runner","https://github.com/webpack/loader-runner","twake"
"loader-utils@0.2.17","MIT","https://github.com/webpack/loader-utils","https://github.com/webpack/loader-utils/raw/master/LICENSE","html-webpack-plugin:twake"
"loader-utils@1.1.0","MIT","https://github.com/webpack/loader-utils","https://github.com/webpack/loader-utils/raw/master/LICENSE","twake"
"locate-path@2.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","twake"
"lodash-es@4.17.4","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","twake"
"lodash._baseassign@3.2.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","twake"
"lodash._basecopy@3.0.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","twake"
"lodash._bindcallback@3.0.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","twake"
"lodash._createassigner@3.1.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","twake"
"lodash._getnative@3.9.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","twake"
"lodash._isiterateecall@3.0.9","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","twake"
"lodash._reinterpolate@3.0.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","twake"
"lodash.assign@3.2.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","nodemon:twake"
"lodash.assign@4.2.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","twake"
"lodash.camelcase@4.3.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","twake"
